text_id,week_id,publish_time,platform,source_type,text,likes,comments,url,model_topic_id,canonical_topic_id,canonical_topic_name,assignment_confidence,is_outlier,sentiment_score,sentiment_label,sentiment_model,sentiment_status,sample_scope,metrics_source
heybox_183680345,2026_W25,2026-06-17 12:00:00,小黑盒,post,【Apex】商店更新[2026.6.17]：力量狂潮里程碑收集、超频赛季收集、科技恐惧商店等活动进度。,18,23,https://www.xiaoheihe.cn/app/bbs/link/183680345,2,APEX-T002,赛季更新与玩法机制,1.0,0,0.97911013,positive,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_183612503,2026_W25,2026-06-17 12:00:00,小黑盒,post,6月17日凌晨1点商店更新，上半赛季进入最后一周以及免费小福利；涉及活动、通行证和换色商店。,161,162,https://www.xiaoheihe.cn/app/bbs/link/183612503,2,APEX-T002,赛季更新与玩法机制,1.0,0,0.20215813,negative,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_183738862,2026_W25,2026-06-18 12:00:00,小黑盒,post,Apex第29赛季上半赛季：防守和踩点根本没用，全都是爆爆爆。,16,0,https://www.xiaoheihe.cn/app/bbs/link/183738862,13,APEX-T011,版本、排位与赛事混合,1.0,0,0.00057967,negative,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_184000986,2026_W26,2026-06-22 12:00:00,小黑盒,post,Apex 6月24日复古组合包和捆绑包返场，亡灵换色和罗芭威望皮肤回归。,58,32,https://www.xiaoheihe.cn/app/bbs/link/184000986,5,APEX-T005,皮肤、外观与商业化,1.0,0,0.92294008,positive,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_184074171,2026_W26,2026-06-23 12:00:00,小黑盒,post,Apex S29下半赛季补丁说明：传奇平衡、强化配件、武器和排位改动、BUG修复与反作弊更新。,91,114,https://www.xiaoheihe.cn/app/bbs/link/184074171,2,APEX-T002,赛季更新与玩法机制,1.0,0,0.95466806,positive,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_184065808,2026_W26,2026-06-23 12:00:00,小黑盒,post,Apex 6月23日凌晨更新爆料汇总：枪械配件、地图轮换、排位界面等改动。,113,261,https://www.xiaoheihe.cn/app/bbs/link/184065808,2,APEX-T002,赛季更新与玩法机制,1.0,0,0.03014972,negative,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_184095485,2026_W26,2026-06-23 12:00:00,小黑盒,post,APEX英雄29.1版本更新前提醒：通行证、段位重置、力量狂潮挑战商店和免费道具即将失效。,99,92,https://www.xiaoheihe.cn/app/bbs/link/184095485,-1,,,0.0,1,0.99996121,positive,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_184133827,2026_W26,2026-06-24 12:00:00,小黑盒,post,Apex 6月24日凌晨1点商店更新，S29赛季下半赛季正式开启，包含战斗通行证和返场内容。,143,329,https://www.xiaoheihe.cn/app/bbs/link/184133827,13,APEX-T011,版本、排位与赛事混合,1.0,0,0.00564354,negative,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_184593395,2026_W27,2026-06-29 12:00:00,小黑盒,post,Apex 7月1号商店更新预告：百包、皮肤组合包与ALGS季后赛掉宝。,210,184,https://www.xiaoheihe.cn/app/bbs/link/184593395,2,APEX-T002,赛季更新与玩法机制,1.0,0,0.24502712,negative,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_184728661,2026_W27,2026-07-01 12:00:00,小黑盒,post,Apex 7月1日商店更新：百包上线，传家宝买一送一活动回归。,199,63,https://www.xiaoheihe.cn/app/bbs/link/184728661,2,APEX-T002,赛季更新与玩法机制,1.0,0,0.89647417,positive,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_184730847,2026_W27,2026-07-01 12:00:00,小黑盒,post,Apex 7月1日更新，20包出了传家宝，活动箱子又随机出了两个传家宝。,8,2,https://www.xiaoheihe.cn/app/bbs/link/184730847,-1,,,0.0,1,0.37481483,neutral,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_184729447,2026_W27,2026-07-01 12:00:00,小黑盒,post,【Apex】商店更新[2026.7.1]：逐渐升温促销、隐秘杀手商店、超频赛季收集等。,23,19,https://www.xiaoheihe.cn/app/bbs/link/184729447,2,APEX-T002,赛季更新与玩法机制,1.0,0,0.24598777,negative,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_184728626,2026_W27,2026-07-01 12:00:00,小黑盒,post,Apex 7月1日百包加双传家宝活动已上架，公布组合包售价和活动持续时间。,498,250,https://www.xiaoheihe.cn/app/bbs/link/184728626,-1,,,0.0,1,0.39028322,neutral,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_184732870,2026_W27,2026-07-01 12:00:00,小黑盒,post,APEX英雄传家宝盲盒买一送一活动上线，高段位强制单排实装，并说明S29排位奖励。,73,44,https://www.xiaoheihe.cn/app/bbs/link/184732870,0,APEX-T001,排位与匹配,1.0,0,0.90642207,positive,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_185126202,2026_W28,2026-07-06 12:00:00,小黑盒,post,联名预告是7号凌晨还是8号凌晨，太好奇了。,13,2,https://www.xiaoheihe.cn/app/bbs/link/185126202,-1,,,0.0,1,0.02181839,negative,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_185140068,2026_W28,2026-07-06 12:00:00,小黑盒,post,Apex英雄掉宝7月8至12日可拿组合包和特殊奖励，并附参与教程。,58,93,https://www.xiaoheihe.cn/app/bbs/link/185140068,-1,,,0.0,1,0.95371043,positive,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_185179102,2026_W28,2026-07-07 12:00:00,小黑盒,post,兄弟们别忘了T台掉宝奖励，7月7日至11日每天观看可领取箱子、挂件、喷漆和皮肤。,19,21,https://www.xiaoheihe.cn/app/bbs/link/185179102,0,APEX-T001,排位与匹配,1.0,0,0.00339512,negative,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_185193878,2026_W28,2026-07-07 12:00:00,小黑盒,post,试着用GPT生成了一下，重生能做到这样吗，期待。,397,244,https://www.xiaoheihe.cn/app/bbs/link/185193878,14,APEX-T012,皮肤审美与官方运营,1.0,0,0.24281001,negative,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_185204423,2026_W28,2026-07-07 12:00:00,小黑盒,post,Apex 7月初段位分布以及G7回归地面武器消息。,61,53,https://www.xiaoheihe.cn/app/bbs/link/185204423,-1,,,0.0,1,0.75770201,positive,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_185254666,2026_W28,2026-07-08 12:00:00,小黑盒,post,重生这什么审美，这也太丑了，完全绷不住。,594,341,https://www.xiaoheihe.cn/app/bbs/link/185254666,14,APEX-T012,皮肤审美与官方运营,1.0,0,0.19092527,negative,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_185260887,2026_W28,2026-07-08 12:00:00,小黑盒,post,【Apex】商店更新[2026.7.8]：逐渐升温促销、隐秘杀手商店、超频赛季收集等。,56,51,https://www.xiaoheihe.cn/app/bbs/link/185260887,2,APEX-T002,赛季更新与玩法机制,1.0,0,0.24598777,negative,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_185312298,2026_W28,2026-07-08 12:00:00,小黑盒,post,谁说Apex没有误封？6月17日被封，申诉多次后最终解封。,21,8,https://www.xiaoheihe.cn/app/bbs/link/185312298,-1,,,0.0,1,0.00332956,negative,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_185429476,2026_W28,2026-07-10 12:00:00,小黑盒,post,更新后手柄是不是削弱了？靶场测试一倍镜时减速很小，询问其他玩家是否有同感。,25,2,https://www.xiaoheihe.cn/app/bbs/link/185429476,2,APEX-T002,赛季更新与玩法机制,1.0,0,0.00243275,negative,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
heybox_185494478,2026_W28,2026-07-11 12:00:00,小黑盒,post,29赛季排位留档，赛季应该不会再打排位，准备观察下赛季KD变化。,3,8,https://www.xiaoheihe.cn/app/bbs/link/185494478,13,APEX-T011,版本、排位与赛事混合,1.0,0,0.37500328,neutral,SnowNLP,model_only_unvalidated,public_search_visible_posts_only,heybox_public_search_visible_sample
